trial_index,audio_filename,condition
1,A1A3A2B2B3B1_267.wav,long_grammatical
2,A1A3A2B2B3B1_314.wav,long_grammatical
3,A2A3B3B2_74.wav,short_grammatical
4,A3A2A1B1B2B3_47.wav,long_replacement
5,A2A3B3B2_68.wav,short_grammatical
6,A1A3A2B2B3B1_6.wav,long_replacement
7,A2A1B1B2_20.wav,short_grammatical
8,A1A3B3B1_37.wav,short_grammatical
9,A3A1A2B2B1B3_175.wav,long_grammatical
10,A2A3A1B1B3B2_76.wav,long_grammatical
11,A2A1A3B3B1B2_255.wav,long_grammatical
12,A3A2B2B3_24.wav,short_concatenation
13,A2A3B3B2_79.wav,short_grammatical
14,A2A1B1B2_0.wav,short_concatenation
15,A1A2A3B3B2B1_29.wav,long_grammatical
16,A3A1B1B3_60.wav,short_grammatical
17,A2A3A1B1B3B2_85.wav,long_grammatical
18,A2A3A1B1B3B2_122.wav,long_grammatical
19,A1A3A2B2B3B1_23.wav,long_replacement
20,A3A1A2B2B1B3_185.wav,long_grammatical
21,A1A3A2B2B3B1_256.wav,long_grammatical
22,A3A1A2B2B1B3_178.wav,long_grammatical
23,A1A3A2B2B3B1_28.wav,long_replacement
24,A3A2A1B1B2B3_359.wav,long_grammatical
25,A2A1B1B2_28.wav,short_concatenation
26,A2A1A3B3B1B2_246.wav,long_grammatical
27,A2A3A1B1B3B2_16.wav,long_concatenation
28,A3A1A2B2B1B3_182.wav,long_grammatical
29,A2A1A3B3B1B2_12.wav,long_replacement
30,A1A2A3B3B2B1_5.wav,long_grammatical
31,A2A1B1B2_25.wav,short_concatenation
32,A1A2A3B3B2B1_21.wav,long_grammatical
33,A3A1A2B2B1B3_148.wav,long_grammatical
34,A3A2A1B1B2B3_18.wav,long_replacement
35,A1A2A3B3B2B1_43.wav,long_replacement
36,A1A2A3B3B2B1_3.wav,long_grammatical
37,A1A3A2B2B3B1_293.wav,long_grammatical
38,A2A3A1B1B3B2_48.wav,long_concatenation
39,A2A1A3B3B1B2_215.wav,long_grammatical
40,A1A2A3B3B2B1_41.wav,long_replacement
41,A3A2A1B1B2B3_368.wav,long_grammatical
42,A2A1A3B3B1B2_222.wav,long_grammatical
43,A3A1A2B2B1B3_154.wav,long_grammatical
44,A2A1B1B2_29.wav,short_grammatical
45,A1A3A2B2B3B1_0.wav,long_replacement
46,A1A3A2B2B3B1_23.wav,long_concatenation
47,A2A3A1B1B3B2_91.wav,long_grammatical
48,A3A2A1B1B2B3_35.wav,long_concatenation
49,A2A1A3B3B1B2_217.wav,long_grammatical
50,A2A3A1B1B3B2_77.wav,long_grammatical
51,A3A2A1B1B2B3_44.wav,long_replacement
52,A3A2B2B3_88.wav,short_grammatical
53,A3A1B1B3_48.wav,short_grammatical
54,A1A2A3B3B2B1_13.wav,long_concatenation
55,A3A1A2B2B1B3_174.wav,long_grammatical
56,A2A1A3B3B1B2_228.wav,long_grammatical
57,A3A1A2B2B1B3_136.wav,long_grammatical
58,A3A1B1B3_52.wav,short_grammatical
59,A2A1A3B3B1B2_204.wav,long_grammatical
60,A3A1A2B2B1B3_152.wav,long_grammatical
61,A1A3A2B2B3B1_298.wav,long_grammatical
62,A2A1A3B3B1B2_243.wav,long_grammatical
63,A1A2A3B3B2B1_52.wav,long_grammatical
64,A2A1B1B2_18.wav,short_grammatical
65,A3A1A2B2B1B3_134.wav,long_grammatical
66,A1A2B2B1_4.wav,short_grammatical
67,A3A2A1B1B2B3_383.wav,long_grammatical
68,A1A3A2B2B3B1_300.wav,long_grammatical
69,A1A3A2B2B3B1_34.wav,long_replacement
70,A2A1A3B3B1B2_240.wav,long_grammatical
71,A2A3A1B1B3B2_82.wav,long_grammatical
72,A1A2A3B3B2B1_43.wav,long_grammatical
73,A1A3A2B2B3B1_302.wav,long_grammatical
74,A2A1B1B2_19.wav,short_grammatical
75,A1A2A3B3B2B1_55.wav,long_grammatical
76,A1A3B3B1_33.wav,short_grammatical
77,A3A2A1B1B2B3_367.wav,long_grammatical
78,A3A2A1B1B2B3_331.wav,long_grammatical
79,A3A1A2B2B1B3_143.wav,long_grammatical
80,A2A1A3B3B1B2_238.wav,long_grammatical
81,A1A2A3B3B2B1_61.wav,long_grammatical
82,A1A2A3B3B2B1_20.wav,long_replacement
83,A1A2B2B1_3.wav,short_grammatical
84,A2A1B1B2_47.wav,short_replacement
85,A3A2A1B1B2B3_45.wav,long_replacement
86,A3A2A1B1B2B3_18.wav,long_concatenation
87,A3A1A2B2B1B3_177.wav,long_grammatical
88,A2A3A1B1B3B2_93.wav,long_grammatical
89,A2A3B3B2_67.wav,short_grammatical
90,A2A1A3B3B1B2_209.wav,long_grammatical
91,A3A2A1B1B2B3_5.wav,long_replacement
92,A1A2A3B3B2B1_42.wav,long_grammatical
