trial_index,audio_filename,condition,position
1,AABBAABBAABBAABB.wav,habituation,0
2,AABBAABBAABBAABB.wav,habituation,0
3,AABBAABBAABBAABB.wav,habituation,0
4,AABBAABBAABBAABB.wav,habituation,0
5,AABBAABBAABBAABB.wav,habituation,0
6,AABBAABBAABBAABB.wav,habituation,0
7,AABBAABBAABBAABB.wav,habituation,0
8,AABBAABBAABBAABB.wav,habituation,0
9,AABBAABBAABBAABB.wav,habituation,0
10,AABBAABBAABBAABB.wav,habituation,0
42,AABBAABBAABBAAAB.wav,violation,15
43,AABBAABBAAABAABB.wav,violation,11
42,AABBAABBAABBAAAB.wav,violation,15
42,AABBAABBAABBAAAB.wav,violation,15
46,AABBAABBAABBAABB.wav,standard,0
41,AABBAABBAABBABBB.wav,violation,14
46,AABBAABBAABBAABB.wav,standard,0
42,AABBAABBAABBAAAB.wav,violation,15
45,AABBAABBABBBAABB.wav,violation,10
46,AABBAABBAABBAABB.wav,standard,0
43,AABBAABBAAABAABB.wav,violation,11
46,AABBAABBAABBAABB.wav,standard,0
42,AABBAABBAABBAAAB.wav,violation,15
46,AABBAABBAABBAABB.wav,standard,0
46,AABBAABBAABBAABB.wav,standard,0
43,AABBAABBAAABAABB.wav,violation,11
46,AABBAABBAABBAABB.wav,standard,0
41,AABBAABBAABBABBB.wav,violation,14
46,AABBAABBAABBAABB.wav,standard,0
45,AABBAABBABBBAABB.wav,violation,10
41,AABBAABBAABBABBB.wav,violation,14
46,AABBAABBAABBAABB.wav,standard,0
45,AABBAABBABBBAABB.wav,violation,10
43,AABBAABBAAABAABB.wav,violation,11
45,AABBAABBABBBAABB.wav,violation,10
41,AABBAABBAABBABBB.wav,violation,14
45,AABBAABBABBBAABB.wav,violation,10
43,AABBAABBAAABAABB.wav,violation,11
46,AABBAABBAABBAABB.wav,standard,0
41,AABBAABBAABBABBB.wav,violation,14
41,AABBAABBAABBABBB.wav,violation,14
42,AABBAABBAABBAAAB.wav,violation,15
43,AABBAABBAAABAABB.wav,violation,11
46,AABBAABBAABBAABB.wav,standard,0
45,AABBAABBABBBAABB.wav,violation,10
46,AABBAABBAABBAABB.wav,standard,0
